trade_id,symbol,signal_type,entry_price,exit_price,size,pnl,pnl_pct,slippage,entry_seq,exit_seq,strategy,regime,ev_score,confidence,equity_after
bt_63,BTCUSDT,long,70876.70000000001,71320.6953436143,0.016246925661271974,7.213559341652151,0.07213559341652151,0.006264334310348566,340,342,momentum,MIXED,2.3548583766487385,0.8549999999999999,10243.02223504188
bt_64,BTCUSDT,long,67912.5,68228.6671969336,0.015418200276062331,4.874729163043518,0.048747291630435174,0.004655508145534358,371,373,momentum,MIXED,2.204605971961522,0.8549999999999999,10247.896964204925
bt_65,BTCUSDT,long,67895.4,68185.73742568637,0.009075712764619296,2.635019080348543,0.02635019080348543,0.004276245897164983,374,376,momentum,MIXED,1.534697000257865,0.8549999999999999,10250.531983285273
bt_66,BTCUSDT,long,67935.1,68157.23942533483,0.015565407657464994,3.457690712131577,0.034576907121315774,0.0032698770640629984,378,380,momentum,MIXED,2.219201854968119,0.8549999999999999,10253.989673997405
bt_67,BTCUSDT,long,68811.29999999999,68935.8691901736,0.013534681523158584,1.686004316597636,0.01686004316597636,0.001810301362910069,381,383,momentum,MIXED,2.0045340055156537,0.8549999999999999,10255.675678314003
bt_68,BTCUSDT,long,69282.8,69408.5935068156,0.018838423627853762,2.3697513710254503,0.023697513710254504,0.0018156527567533788,385,387,momentum,MIXED,2.636759932895658,0.8549999999999999,10258.045429685028
bt_69,BTCUSDT,long,69123.0,69266.51679666503,0.017070953948831333,2.449968626752574,0.024499686267525737,0.0020762524292208574,388,390,momentum,MIXED,2.395195772138698,0.8549999999999999,10260.49539831178
bt_70,BTCUSDT,long,68988.70000000001,69188.99888032938,0.019780613322006854,3.962034700626196,0.039620347006261956,0.0029033578010510433,391,393,momentum,MIXED,2.7178855722376865,0.8549999999999999,10264.457433012405
bt_71,BTCUSDT,long,68951.5,69261.56466559322,0.022329733435122668,6.923661330347086,0.06923661330347086,0.004496851636196768,395,397,momentum,MIXED,3.0573002962864506,0.8549999999999999,10271.381094342752
bt_72,BTCUSDT,long,69212.8,69592.0608239147,0.022260436857798164,8.442511623389551,0.08442511623389551,0.005479634170481383,399,401,momentum,MIXED,3.0931878368680663,0.8549999999999999,10279.823605966141
bt_73,BTCUSDT,long,68979.2,69473.37091542504,0.022354181273411714,11.046786223459199,0.11046786223459198,0.007164056924769235,405,407,momentum,MIXED,3.1451655671191427,0.8549999999999999,10290.870392189601
bt_74,BTCUSDT,long,69235.3,69447.62175017758,0.02229542673792762,4.733804025952801,0.04733804025952801,0.0030666690283364093,410,412,momentum,MIXED,3.2246159955284965,0.8549999999999999,10295.604196215554
bt_75,BTCUSDT,long,69279.0,69463.36544034147,0.017286217066068,3.1869810212238496,0.031869810212238496,0.0026612023894898797,413,415,momentum,TRENDING,2.9095528754844997,0.87875,10298.791177236779
bt_76,BTCUSDT,long,69122.1,69319.46334369546,0.010795931714534085,2.1307211814882545,0.021307211814882546,0.0028552857001661568,416,418,momentum,MIXED,1.7699434146476383,0.8549999999999999,10300.921898418266
bt_77,BTCUSDT,long,69417.7,69528.21010299015,0.011942547430916238,1.3197721465553782,0.01319772146555378,0.0015919585781458642,419,421,momentum,MIXED,1.88865072278029,0.8549999999999999,10302.241670564821
bt_78,BTCUSDT,long,69273.0,69424.78331023981,0.010618477102426407,1.6117076043119534,0.016117076043119533,0.0021910890280457673,422,424,momentum,MIXED,1.7271928154044167,0.8549999999999999,10303.853378169133
